Ano de Lançamento,Título da obra,Gênero,Nacionalidade da obra,Empresa distribuidora,Salas no Lançamento
2010,A Hora Do Pesadelo,Ficção,Estrangeira,Warner,151
2010,A Jovem Rainha Vitória,Ficção,Estrangeira,Europa,36
2010,A Lenda Dos Guardiões,Animação,Estrangeira,Warner,223
2010,A Mente Que Mente,Ficção,Estrangeira,Europa,14
2010,À Moda Da Casa,Ficção,Estrangeira,Pandora Filmes,5
2010,A Origem,Ficção,Estrangeira,Warner,313
2010,À Prova De Morte,Ficção,Estrangeira,Playarte,48
2010,A Rede Social,Ficção,Estrangeira,Sony,162
2010,A Ressaca,Ficção,Estrangeira,Imagem,62
2010,A Riviera Não É Aqui,Ficção,Estrangeira,Imagem,8
2010,A Saga Crepúsculo: Eclipse,Ficção,Estrangeira,Paris,502
2010,A Sétima Alma,Ficção,Estrangeira,Imagem,60
2010,A Suprema Felicidade,Ficção,Brasileira,Paramount,166
2010,A Todo Volume,Documentário,Estrangeira,Sony,1
2010,A Última Música,Ficção,Estrangeira,Sony,25
2010,A Vida Durante A Guerra,Ficção,Estrangeira,Imagem,7
2010,Abutres,Ficção,Estrangeira,Paris,5
2010,Acácio,Documentário,Brasileira,Anavilhana,1
2010,Ah... O Amor!,Ficção,Estrangeira,Serendip,8
2010,Alice No País Das Maravilhas,Ficção,Estrangeira,Sony,492
2010,Almas À Venda,Ficção,Estrangeira,Europa,10
2010,Alvin E Os Esquilos 2,Animação,Estrangeira,Fox,384
2010,Amélia,Ficção,Estrangeira,Fox,10
2010,Amor À Distância,Ficção,Estrangeira,Warner,117
2010,Amor Extremo,Ficção,Estrangeira,Imagem,8
2010,Amor Por Acaso,Ficção,Brasileira,Playarte,65
2010,Amor Por Contrato,Ficção,Estrangeira,Califórnia,55
2010,Amor Sem Escalas,Ficção,Estrangeira,Paramount,164
2010,Antes Da Lua Cheia,Ficção,Estrangeira,Pandora Filmes,1
2010,Antes Que O Mundo Acabe,Ficção,Brasileira,Imagem,13
2010,Ao Sul Da Fronteira,Documentário,Estrangeira,Europa,19
2010,Ao Sul De Setembro,Ficção,Brasileira,Polifilmes,1
2010,"Aparecida, O Milagre",Ficção,Brasileira,Paramount,270
2010,Aproximação,Ficção,Estrangeira,Pandora Filmes,3
2010,Aquarela - As Cores De Uma Paixão,Ficção,Estrangeira,Ab Filmes,1
2010,As Cartas Psicografadas Por Chico Xavier,Documentário,Brasileira,Ciclorama Filmes,4
2010,As Crônicas De Nárnia: A Viagem Do Peregrino Da Alvorada,Ficção,Estrangeira,Fox,653
2010,As Melhores Coisas Do Mundo,Ficção,Brasileira,Warner/Riofilme,151
2010,As Múmias Do Faraó,Ficção,Estrangeira,Imagem,37
2010,Astro Boy,Animação,Estrangeira,Paris,76
2010,Atividade Paranormal 2,Ficção,Estrangeira,Paramount,167
2010,Atração Perigosa,Ficção,Estrangeira,Warner,51
2010,Atraídos Pelo Crime,Ficção,Estrangeira,Califórnia,114
2010,Avatar: Edição Especial,Ficção,Estrangeira,Fox,79
2010,B1 - Tenório Em Pequim,Documentário,Brasileira,Espaço Filmes,4
2010,Baaria - A Porta Do Vento,Ficção,Estrangeira,Paris,10
2010,Batalha Por T.E.R.A.,Animação,Estrangeira,Playarte,56
2010,Bellini E O Demônio,Ficção,Brasileira,Santa Fé Filmes,3
2010,Brilho De Uma Paixão,Ficção,Estrangeira,Playarte,29
2010,Cabeça A Prêmio,Ficção,Brasileira,Europa,19
2010,Caçador De Recompensas,Ficção,Estrangeira,Sony,136
2010,Cadê Os Morgans,Ficção,Estrangeira,Sony,61
2010,Caro Francis,Documentário,Brasileira,Imovision,1
2010,"Carros Usados, Vendedores Pirados",Ficção,Estrangeira,Europa,24
2010,Cartas Para Julieta,Ficção,Estrangeira,Paris,124
2010,Caso 39,Ficção,Estrangeira,Paramount,140
2010,Centurião,Ficção,Estrangeira,Playarte,38
2010,Cheri,Ficção,Estrangeira,Califórnia,27
2010,Chico Xavier,Ficção,Brasileira,Sony/Downtown,392
2010,Cidade De Plástico,Ficção,Brasileira,Paris,2
2010,Cildo,Documentário,Brasileira,Videofilmes,3
2010,Coco Chanel & Igor Stravinsky,Ficção,Estrangeira,Imovision,18
2010,Coincidências Do Amor,Ficção,Estrangeira,Imagem,84
2010,"Comer, Rezar E Amar",Ficção,Estrangeira,Sony,245
2010,Como Cães E Gatos 2 – A Vingança De Kitty Galore,Ficção,Estrangeira,Warner,188
2010,Como Esquecer,Ficção,Brasileira,Europa,22
2010,Como Treinar Seu Dragão,Animação,Estrangeira,Paramount,378
2010,Confusões Em Família,Ficção,Estrangeira,Imagem,3
2010,Contatos De 4º Grau,Ficção,Estrangeira,Imagem,63
2010,Contos Da Era Dourada,Ficção,Estrangeira,Imovision,2
2010,Coração Louco,Ficção,Estrangeira,Fox,15
2010,Criação,Ficção,Estrangeira,Imagem,12
2010,Cyrus,Ficção,Estrangeira,Fox,6
2010,Demônio,Ficção,Estrangeira,Universal,100
